"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","3","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/service/values/nettype"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/service/values/nettype""}]",""
"passed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","4","cray-capmc-test","smoke","","","","test_smoke[{""path"": ""capmc/v1/get_power_cap_capabilities"", ""expected_status_code"": 200, ""method"": ""POST"", ""body"": ""{\""nids\"":[1]}"", ""headers"": {}, ""url"": ""http://localhost:8080/apis/capmc/capmc/v1/get_power_cap_capabilities""}]",""
"passed","Thu Jan 05 16:31:50 GMT 2023","Thu Jan 05 16:31:50 GMT 2023","2","cray-firmware-action-hmth-test","smoke","","","","test_smoke[{""path"": ""actions"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/fas/v1/actions""}]",""
"passed","Thu Jan 05 16:32:00 GMT 2023","Thu Jan 05 16:32:00 GMT 2023","89","cray-bss-test","functional","","","","Verify the dumpstate resource",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","2","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/service/values/state"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/service/values/state""}]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","4","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/Inventory/Hardware/History"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/Inventory/Hardware/History""}]",""
"passed","Thu Jan 05 16:31:54 GMT 2023","Thu Jan 05 16:31:54 GMT 2023","152","cray-smd-test","functional","","","","Ensure that we can gather information from the memberships collection",""
"passed","Thu Jan 05 16:31:37 GMT 2023","Thu Jan 05 16:31:37 GMT 2023","5","cray-sls-test","smoke","","","","test_smoke[{""path"": ""v1/dumpstate"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/sls/v1/dumpstate""}]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","2","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/service/values"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/service/values""}]",""
"failed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","3","cray-hmnfd-test","smoke","","","","test_smoke[{""path"": ""hmi/v1/health"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hmnfd/hmi/v1/health""}]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","3","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/Subscriptions/SCN"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/Subscriptions/SCN""}]",""
"failed","Thu Jan 05 16:31:38 GMT 2023","Thu Jan 05 16:31:38 GMT 2023","8","cray-scsd-test","smoke","","","","test_smoke[{""path"": ""v1/version"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://cray-scsd/v1/version""}]",""
"passed","Thu Jan 05 16:31:53 GMT 2023","Thu Jan 05 16:31:53 GMT 2023","32","cray-smd-test","functional","","","","Ensure that we can call the Component Query API with node BMC xnames",""
"passed","Thu Jan 05 16:31:50 GMT 2023","Thu Jan 05 16:31:50 GMT 2023","2","cray-firmware-action-hmth-test","smoke","","","","test_smoke[{""path"": ""service/status"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/fas/v1/service/status""}]",""
"passed","Thu Jan 05 16:31:37 GMT 2023","Thu Jan 05 16:31:37 GMT 2023","5","cray-sls-test","smoke","","","","test_smoke[{""path"": ""v1/hardware"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/sls/v1/hardware""}]",""
"passed","Thu Jan 05 16:31:57 GMT 2023","Thu Jan 05 16:31:57 GMT 2023","30","cray-sls-test","functional","","","","Verify the hardware resource",""
"passed","Thu Jan 05 16:31:37 GMT 2023","Thu Jan 05 16:31:37 GMT 2023","2","cray-sls-test","smoke","","","","test_smoke[{""path"": ""v1/networks"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/sls/v1/networks""}]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","2","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/service/liveness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/service/liveness""}]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","2","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/service/values/class"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/service/values/class""}]",""
"passed","Thu Jan 05 16:31:39 GMT 2023","Thu Jan 05 16:31:39 GMT 2023","6","cray-bss-test","smoke","","","","test_smoke[{""path"": ""boot/v1/bootparameters"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/bss/boot/v1/bootparameters""}]",""
"failed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","2","cray-hmnfd-test","smoke","","","","test_smoke[{""path"": ""hmi/v1/readiness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hmnfd/hmi/v1/readiness""}]",""
